image,n_existing_labels,n_candidates_added
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/28144548_00__01308_jpg.rf.f9f645fd2b171a9a7ef695d0035be2e2.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2814469_00__02464_jpg.rf.8ad9178cd208fdcff37f005a7ff798e6.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2814469_00__02468_jpg.rf.36a7a7da18615d7443064a6cb7160f2a.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2814469_00__02472_jpg.rf.0067c6068f1c3827f660ae09cb279169.jpg,1,2
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2814493_01__02712_jpg.rf.69db078ad467253bf794b00b5b828c1d.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/28161233_13__04536_jpg.rf.dd1c3d7b2251605444d6eacc30c4aefd.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/28161233_13__04540_jpg.rf.ed37b96afee8340bc6bf18e2da8a6a74.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2816187_13__22644_jpg.rf.916f48ea469473c1c1e2ec716e786eaa.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2816187_13__22652_jpg.rf.72eb01acb681fdf3f7674cdce36fda26.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2816240_16__05544_jpg.rf.12263c7530f8a784e3785dcc8a34a474.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2816240_16__05560_jpg.rf.9c674ee9f2cd57d9a5b9d361f6c4f705.jpg,4,2
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/28162632_17__04996_jpg.rf.5204f9e816ada23e96c4d322f6cd0bdd.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/281644_10__02648_jpg.rf.8c9e78936b79ec37f7c6ecbd908fe6a3.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2816956_12__01304_jpg.rf.15b9c515b088bc66bc967d9df90ae06a.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2816959_12__01496_jpg.rf.d20fdda0706a912e1c596da29138ef27.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2942620_00__120472_jpg.rf.ffb5ba34efdb2cc3cda2940c5613c7af.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2942621_00__120532_jpg.rf.ff4ea16c0da1576cfc1b9b6ac3c3ff6d.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2c6741a5f4931e351d0e32acd4b21f92_jpg.rf.2391b8a61dcf215b4fe283a48068a481.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/31f7e1c74fc14731e65ccdd832df106f_jpg.rf.6e159f54d22bb875ee5f51556d0ddd8b.jpg,6,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/355_jpg.rf.a9e8d1b373492baade8291398b6c428d.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/3ddfd3323103f1b05b687e2423c3209e_jpg.rf.1fdcaf3fba25f4a5608d3fdd811c8fa6.jpg,6,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/41-1410_jpg.rf.fdb474721c5d364bf15cbcd902f50c83.jpg,3,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/41-1422_jpg.rf.182e1ad0e255b6b362f2ac6430ab95e2.jpg,1,3
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/410424407-1603717206_jpeg_jpg.rf.e0795ed2849be2a023996e13d9097b0d.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/448642765-1613827826_jpeg_jpg.rf.17ec5ceedb9a0819afe8b55e28a5de25.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/44d8a0340a8fe66a87378458d3f3e63d_jpg.rf.2526e3006fc8961cb2bfb43cf6320004.jpg,3,2
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/470_jpg.rf.6dfcd54194694dedaca7feb3d1e379b7.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/480e17d0f0e9fa5de0b2be78f768c55e_jpg.rf.01d6807c7b99751f20202b8e7d770dcd.jpg,12,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/496506341-1626329561_jpeg.rf.e9f122b6440eb7ec63170825b4c3c611.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/51dee378-cbfb-488c-b5ef-ae172cff8a1b_jpg.rf.7fbb19bd58104d46ccd6b3b00786e964.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/545646541drzt1s56e1t51sdrgf51sergf1dszrfgsd6_jpg.rf.2bcc3d73a8c5eb919afa1106e66703fc.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/64b83066ff1837f0021c6e82cef607a6_jpg.rf.fcb59d009ad3031d031c0321de652878.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/664.rf.73b1107059eaa078ca3d811ab79e1a80.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/66c31a88d85c363dabe8e421f05ad4ae_jpg.rf.75c35e81dbba2135329b7076191827e1.jpg,8,2
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/6efc0470-a641-45bd-bdb9-79beb9960e80_jpg.rf.d013f63387fbd18e6af41c9ba2c6f7d7.jpg,6,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/788dd640a41282bb59ef64e8bd2edab8_jpg.rf.f0cd1a32d29bf9a6ef0b078ee5337e42.jpg,6,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/8130cc29a41fcb150c6cd1665efe88d1_jpeg_jpg.rf.0d4bd7eff4eeff0312bc5e97e74fb49d.jpg,1,3
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/8278a9ca-7107-4a89-bc9c-bfb433f9b400_jpg.rf.5718865e9af28696844498302ae18c64.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/86bc3c63c84ed3c7_jpg.rf.a74b7b9ee841817536f8ff9ed1e27cf6.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/89.rf.0eb61595a9265a82deaaf95b9a8c4db3.jpg,2,2
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/8ccf9a94947478d0_jpg.rf.196f140b2232a8ba3b6a1b3e53b0b4ef.jpg,3,2
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/93d0020feda91c68_jpg.rf.805f1622755c1e823d9d690335eeee65.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/98d863a458a6a16a_jpg.rf.fb5c5efda7d33f60035ff20c9df081c5.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/9b3a3e630d7765e2_jpg.rf.76997479c76f2968fcdf677408842bd2.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/D51G65ZDG65Z1DSG5ZD1SG651SD65F1GSDFG1SD65F1image_jpg.rf.76789480330f89c45119fa5d03720455.jpg,3,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/DatasetWeapons_086_png.rf.610e449d1038c43835271225d109d9d9.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/DatasetWeapons_1190_png.rf.cac039df5c0f6a9a2aba72486dbdd994.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/DatasetWeapons_1215_png.rf.f312ba322abfcdd341833e42ac9b1e72.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/DatasetWeapons_2820_png.rf.179251818b86d7acdf2b8b956e47c9f5.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/DatasetWeapons_4230_png.rf.637b8723b91d86b34228ed3a468ea8e2.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/DatasetWeapons_5111_png.rf.5d9f8ad1a6a1534380acc0859e864be8.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/DatasetWeapons_5344_png.rf.f944f3c75143da9f8af00722ee92ab7b.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/DatasetWeapons_5346_png.rf.c4934b48412d957189375066d134d802.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/DatasetWeapons_5848_png.rf.5ffd05df37a0e50fde72163fc58e5f27.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/Deagleshowcasevegas_jpg.rf.166bae197b1e2e726c7f19c1ee200925.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/Doc-dao-Nghet-tho-man-VAY-BAT-TOI-PHAM-NGOAN-CO-cua-hinh-su-vung-BIEN-GIOI-Phim-canh-sat-hinh-su_mp4-0212_jpg.rf.0bf559215a66838542fc4eb88ba05c1e.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/Doc-dao-Nghet-tho-man-VAY-BAT-TOI-PHAM-NGOAN-CO-cua-hinh-su-vung-BIEN-GIOI-Phim-canh-sat-hinh-su_mp4-0314_jpg.rf.93e77291d1ee0d8db289d9b0dcc54471.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/FILE057_JPG_jpg.rf.d5ef520d0913d70edf773c5aed53f1dc.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/FILE11306_JPG_jpg.rf.21ba785478ea3e483612c4cfdf3d9ca3.jpg,4,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/FILE298_JPG_jpg.rf.ed0b0691e6bf59a687a3b31b1f286a1a.jpg,4,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/FILE325_JPG_jpg.rf.80d1c3d2d8136cb57434297af4fab9c5.jpg,3,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/FILE5361_JPG_jpg.rf.6c96c704584d3e586de6e581b18a8103.jpg,3,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/FILE9095_JPG_jpg.rf.052f4d72c70cff0a9ae1dd0ca06647b5.jpg,4,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/FILE9095_JPG_jpg.rf.cbde2141ff8f0626919df0f3491bded7.jpg,4,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/Image_1_png.rf.013ca2bfa7ca9c959c91a3390ee2e4c1.jpg,5,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_1043_png.rf.86e729b1982dcbc01cd4760f0b537a02.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_1202_png.rf.19e76c30bf66b09f0bae4ed674f33608.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_1263_png.rf.054d1fe905ace4660ba343503795a8f6.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_1467_png.rf.75f39741422abd1a0cb8715db6535af7.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_1544_png.rf.3876d4849d799ba0d7b7d9d51fb770f6.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_1551_png.rf.9015af4d1a4664704dd3843d2b85407a.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_1563_png.rf.a037a93d6f7e0b88cb5ab8a82154645e.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_1640_png.rf.8300d9d0338e4095de88aa6a9878c862.jpg,3,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_1688_png.rf.7629ea97bc8e6abf772096dbf96e88a5.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_1776_png.rf.eb84a55db9b27af550e9cb332b85facb.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_1936_png.rf.98d639c48fee0062564c140f1207d650.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_2020_png.rf.15b9bd6b18d08e15cc6373915c354050.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_2053_png.rf.b678c01dcb1738500a8142982c5f6bc3.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_2055_png.rf.99d1e03ce0e68627274fb449e878949c.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_2222_png.rf.4933943e9cde772bf1bf4e61f03ae3c1.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_2258_png.rf.b315433d9b21f7427fbb61808de0e060.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_2635_png.rf.09a47672188b09fda57d6553e3a04b05.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_2674_png.rf.3b02b2fe7b27dae61a5ea6f63f50b272.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_2715_png.rf.fd466341f45cf0a94b26862641e773ca.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_2779_png.rf.e5ebdafed512d91d08ef46548a7f9c12.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_2874_png.rf.308b8cb4cd928094f4ac42efb6415b3b.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_2923_png.rf.592ba5166caf75f0b094aa77e0b7811d.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_2962_png.rf.00d28cb01870049b3a81dc086bf6c05b.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_3081_png.rf.c99f9228e0bfc388014bc350530792da.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_3149_png.rf.34b3c9692f29b6e16466df38edd8e82c.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_3176_png.rf.65513e7fa13f96470557a32d6ffc27c8.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_3220_png.rf.736c11d14ed9a1f94bc7ea0d1704c460.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_3272_png.rf.a2e96b5fccff0106352333b150ccfb92.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_329_png.rf.3913589001b55db1c6dffef23efe9d7d.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_3329_png.rf.2eb33cd224c34cd9663567402e64d2f5.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_3340_png.rf.6fb35a23ba13bebda26955453c595c1f.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_3370_png.rf.bed2eb93a2720b45465d2bacd5b480e5.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_3703_png.rf.c2509cf7a7fc66a1243a820ce245ce0a.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_3705_png.rf.4305769a7749d893b84b782ed1ee6118.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_4070_png.rf.eb949bf17b4790009570944620a2eb78.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_4099_png.rf.a584a8cdb0fc95188e10b42677d6d42d.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_4141_png.rf.38b7588d638ed41cdcf55ac341e3b73c.jpg,1,2
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_4171_png.rf.d33c2b1050ea5d490b52862064b2adfb.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_4291_png.rf.b4333d3119ec3f7b95ed06c0cc0c947c.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_4421_png.rf.42dcc93548af66aaa5cf30f91144765d.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_4527_png.rf.4f4df0f9edaf31f43609a22e00a18095.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_4538_png.rf.86cc94f5a67101620c974422a019ffdd.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_4586_png.rf.2d6ecd7af7dc1285311a4ab040054c35.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_4629_png.rf.7381a78f141b9aab1bb1f0527840d1f6.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_4765_png.rf.43a23d99a36b72276bcf1be405388e3b.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_4775_png.rf.12ac9fe3cb48b205de6d11272f65b6a1.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_4817_png.rf.4abcbe46089e1298f70013b2f2e9e62f.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_4823_png.rf.1e05b76e0a23d5f9cf192f4c8ae1f6a9.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_4900_png.rf.4e7a8cbc933ea086185b3a731d33a3c8.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_5070_png.rf.c95f8e21d38825a66726f56970ae189c.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_5203_png.rf.3a9603104fe0dc0f8289c497c2cc5eaa.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_5254_png.rf.50c0f9d62f80eb74058fc85c8a52b223.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_5336_png.rf.b409b99f5082cd345c5a39af0d362bd7.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_5441_png.rf.1d9f18d4006e3bdf274909cf416de799.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_5456_png.rf.3e478ebf38450844cb19db34ef46a5ae.jpg,1,3
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_5475_png.rf.41d1cf182761de5eb718ccb058a98fff.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_5619_png.rf.5ebdccc1b551e4303d74bd9dd35ce373.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_5818_png.rf.6c137e3e05e4ac8f7da652c94f17dd06.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_5968_png.rf.99f46d675ac6be54f3e6122363e9ca97.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_5999_png.rf.4243d05c8f7c4aea9f8ce6ddf0d40c07.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_6005_png.rf.358c1a8156358ba62ab940954e5c7f47.jpg,3,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_6090_png.rf.8aeb2cc3275ed556d7c2295539d1f0ec.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_6128_png.rf.2313619dc588510931ba2af21a868434.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_6197_png.rf.1bfa33dfb8ff0e13fa203be5ec08f02d.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_6205_png.rf.387912e1313169e5da60a4f7e0e1c809.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_6294_png.rf.2476421be1e26b7d047008eda6be7b0e.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_6338_png.rf.02162232e0ceaec7a354b8cf0d5d6ec9.jpg,1,2
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_6478_png.rf.0de29fff24901a37c3515ca74214bcdb.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_6481_png.rf.694eef0fa350f7d8f8b61d03dcea5dc8.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_6558_png.rf.c51e4449e7d1af95bc44fd0f3a0c0bd6.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_6641_png.rf.ab095d467c67a900acabb74773028670.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_670_png.rf.a92df507fcc8336dfa48899cbbe985a8.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_6731_png.rf.0dfafe01f13e0243c3bbc1269cef2902.jpg,5,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_6810_png.rf.3e0410fb70187c3f87317aedfdfe979d.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/KnifeDataset_731_png.rf.1cfcadd1e96728b97edf7df40633954b.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset1005_png.rf.1d1f906f5eb8dbe75969e679b19c1976.jpg,1,2
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset1171_png.rf.79659d163ca150923d5944af3e0dff13.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset1244_png.rf.5dc1b5cbc530019e2144cafbc005112a.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset1860_png.rf.642d3a3b34b55df61bfec340bcda3a3c.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset1866_png.rf.f613937daba6d92e34b0e444792c64c4.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset1897_png.rf.26c936d4f39a8b307fc98cf9296b2dcc.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset2924_png.rf.3eaaf25d0976b02c920cab575b4f38dc.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset3045_png.rf.a84502f892f9e7c64a1fe0cd6e648e80.jpg,2,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset3048_png.rf.32599ec9294cd8f2115e7adde03eeaa8.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset3066_png.rf.11d0a5639579cf9db753192ef19f2871.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset3217_png.rf.e80c0f44e5dad351f3dee44808eecb15.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset3218_png.rf.ef7e0b2f1bb439586576ca247fae8016.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset3454_png.rf.1daeca2c3ef171ef423a523ff2133d28.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset369_png.rf.08efd795a59354d39b970c456510e3b9.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset3812_png.rf.d8fe22e05a95d0a042859d1b0c3006d7.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset3814_png.rf.ca8dd913cda61b29795006353338adb7.jpg,1,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset3816_png.rf.642392a797f904f05d55c1793bb5bfef.jpg,3,1
/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/NewGunDataset3867_png.rf.02516216f0b1a0b35031d709cec8b91d.jpg,1,1
