exported_image,exported_label,split,original_stem_with_rf,original_image,original_path
train__1000_F_128756423_jtbHpQ8s7E9cBpgEwDx33eJSDL0xjZdI_jpg.jpg,train__1000_F_128756423_jtbHpQ8s7E9cBpgEwDx33eJSDL0xjZdI_jpg.txt,train,1000_F_128756423_jtbHpQ8s7E9cBpgEwDx33eJSDL0xjZdI_jpg.rf.9c90a1f50cdadfefe3ca552861ddcc5e,1000_F_128756423_jtbHpQ8s7E9cBpgEwDx33eJSDL0xjZdI_jpg.rf.9c90a1f50cdadfefe3ca552861ddcc5e.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/1000_F_128756423_jtbHpQ8s7E9cBpgEwDx33eJSDL0xjZdI_jpg.rf.9c90a1f50cdadfefe3ca552861ddcc5e.jpg
train__1000_F_128993624_pT5m3qg0z4UWx2jQH7wW4hmHlO0znBTS_jpg.jpg,train__1000_F_128993624_pT5m3qg0z4UWx2jQH7wW4hmHlO0znBTS_jpg.txt,train,1000_F_128993624_pT5m3qg0z4UWx2jQH7wW4hmHlO0znBTS_jpg.rf.808e21ef0f7fd56bed52b6d19fb4faa7,1000_F_128993624_pT5m3qg0z4UWx2jQH7wW4hmHlO0znBTS_jpg.rf.808e21ef0f7fd56bed52b6d19fb4faa7.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/1000_F_128993624_pT5m3qg0z4UWx2jQH7wW4hmHlO0znBTS_jpg.rf.808e21ef0f7fd56bed52b6d19fb4faa7.jpg
train__1000_F_201263720_SzsdIbkCkz1yT9KMIpLtiFfmF70fqZC8_jpg.jpg,train__1000_F_201263720_SzsdIbkCkz1yT9KMIpLtiFfmF70fqZC8_jpg.txt,train,1000_F_201263720_SzsdIbkCkz1yT9KMIpLtiFfmF70fqZC8_jpg.rf.70e86607bff15d9908fdd4c4a786d354,1000_F_201263720_SzsdIbkCkz1yT9KMIpLtiFfmF70fqZC8_jpg.rf.70e86607bff15d9908fdd4c4a786d354.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/1000_F_201263720_SzsdIbkCkz1yT9KMIpLtiFfmF70fqZC8_jpg.rf.70e86607bff15d9908fdd4c4a786d354.jpg
train__113_png_jpg.jpg,train__113_png_jpg.txt,train,113_png_jpg.rf.ab021a0ee7911e872fd82cf1399ec98a,113_png_jpg.rf.ab021a0ee7911e872fd82cf1399ec98a.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/113_png_jpg.rf.ab021a0ee7911e872fd82cf1399ec98a.jpg
train__1440689b2b42c81cb6721ce8790f6640_jpg.jpg,train__1440689b2b42c81cb6721ce8790f6640_jpg.txt,train,1440689b2b42c81cb6721ce8790f6640_jpg.rf.e20665e94ed864ff1cbb20a16e3d15af,1440689b2b42c81cb6721ce8790f6640_jpg.rf.e20665e94ed864ff1cbb20a16e3d15af.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/1440689b2b42c81cb6721ce8790f6640_jpg.rf.e20665e94ed864ff1cbb20a16e3d15af.jpg
train__152.jpg,train__152.txt,train,152.rf.6c9fd0caf1a4226486646c48bb367210,152.rf.6c9fd0caf1a4226486646c48bb367210.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/152.rf.6c9fd0caf1a4226486646c48bb367210.jpg
train__155.jpg,train__155.txt,train,155.rf.0c884c89e4088084b100c7903e48c96a,155.rf.0c884c89e4088084b100c7903e48c96a.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/155.rf.0c884c89e4088084b100c7903e48c96a.jpg
train__194_jpg.jpg,train__194_jpg.txt,train,194_jpg.rf.5962d500844fa35f105acc09b88c65f3,194_jpg.rf.5962d500844fa35f105acc09b88c65f3.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/194_jpg.rf.5962d500844fa35f105acc09b88c65f3.jpg
train__2-260-_jpg.jpg,train__2-260-_jpg.txt,train,2-260-_jpg.rf.98e8eb8b5689fd5b7919f297a758a6ce,2-260-_jpg.rf.98e8eb8b5689fd5b7919f297a758a6ce.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2-260-_jpg.rf.98e8eb8b5689fd5b7919f297a758a6ce.jpg
train__241_jpeg_jpg.jpg,train__241_jpeg_jpg.txt,train,241_jpeg_jpg.rf.737c3d6269b87f7d1ac7bc0f2378b8d9,241_jpeg_jpg.rf.737c3d6269b87f7d1ac7bc0f2378b8d9.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/241_jpeg_jpg.rf.737c3d6269b87f7d1ac7bc0f2378b8d9.jpg
train__28144538_00__00800_jpg.jpg,train__28144538_00__00800_jpg.txt,train,28144538_00__00800_jpg.rf.89866b69d5f4d7fab5a7550fcebbe078,28144538_00__00800_jpg.rf.89866b69d5f4d7fab5a7550fcebbe078.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/28144538_00__00800_jpg.rf.89866b69d5f4d7fab5a7550fcebbe078.jpg
train__28144538_00__00804_jpg.jpg,train__28144538_00__00804_jpg.txt,train,28144538_00__00804_jpg.rf.46ff25feeaacea4222d40f7984c339cf,28144538_00__00804_jpg.rf.46ff25feeaacea4222d40f7984c339cf.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/28144538_00__00804_jpg.rf.46ff25feeaacea4222d40f7984c339cf.jpg
train__28144547_00__01292_jpg.jpg,train__28144547_00__01292_jpg.txt,train,28144547_00__01292_jpg.rf.d859db089b55ccae7efacc35c087cff4,28144547_00__01292_jpg.rf.d859db089b55ccae7efacc35c087cff4.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/28144547_00__01292_jpg.rf.d859db089b55ccae7efacc35c087cff4.jpg
train__28144547_00__01296_jpg.jpg,train__28144547_00__01296_jpg.txt,train,28144547_00__01296_jpg.rf.d35b103a42cff4cc738ae9b27223dff8,28144547_00__01296_jpg.rf.d35b103a42cff4cc738ae9b27223dff8.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/28144547_00__01296_jpg.rf.d35b103a42cff4cc738ae9b27223dff8.jpg
train__28144548_00__01300_jpg.jpg,train__28144548_00__01300_jpg.txt,train,28144548_00__01300_jpg.rf.92fcf4a39ebf0cc43dc1b38f36da190e,28144548_00__01300_jpg.rf.92fcf4a39ebf0cc43dc1b38f36da190e.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/28144548_00__01300_jpg.rf.92fcf4a39ebf0cc43dc1b38f36da190e.jpg
train__28144548_00__01308_jpg.jpg,train__28144548_00__01308_jpg.txt,train,28144548_00__01308_jpg.rf.f9f645fd2b171a9a7ef695d0035be2e2,28144548_00__01308_jpg.rf.f9f645fd2b171a9a7ef695d0035be2e2.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/28144548_00__01308_jpg.rf.f9f645fd2b171a9a7ef695d0035be2e2.jpg
train__2814469_00__02464_jpg.jpg,train__2814469_00__02464_jpg.txt,train,2814469_00__02464_jpg.rf.8ad9178cd208fdcff37f005a7ff798e6,2814469_00__02464_jpg.rf.8ad9178cd208fdcff37f005a7ff798e6.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2814469_00__02464_jpg.rf.8ad9178cd208fdcff37f005a7ff798e6.jpg
train__2814469_00__02468_jpg.jpg,train__2814469_00__02468_jpg.txt,train,2814469_00__02468_jpg.rf.36a7a7da18615d7443064a6cb7160f2a,2814469_00__02468_jpg.rf.36a7a7da18615d7443064a6cb7160f2a.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2814469_00__02468_jpg.rf.36a7a7da18615d7443064a6cb7160f2a.jpg
train__2814469_00__02472_jpg.jpg,train__2814469_00__02472_jpg.txt,train,2814469_00__02472_jpg.rf.0067c6068f1c3827f660ae09cb279169,2814469_00__02472_jpg.rf.0067c6068f1c3827f660ae09cb279169.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2814469_00__02472_jpg.rf.0067c6068f1c3827f660ae09cb279169.jpg
train__2814469_00__02480_jpg.jpg,train__2814469_00__02480_jpg.txt,train,2814469_00__02480_jpg.rf.4eac4ae6e6226c1bf13765c5abe5caf0,2814469_00__02480_jpg.rf.4eac4ae6e6226c1bf13765c5abe5caf0.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2814469_00__02480_jpg.rf.4eac4ae6e6226c1bf13765c5abe5caf0.jpg
train__2816240_16__05536_jpg.jpg,train__2816240_16__05536_jpg.txt,train,2816240_16__05536_jpg.rf.90ed740a4c4284cedd49ee89b89f2adf,2816240_16__05536_jpg.rf.90ed740a4c4284cedd49ee89b89f2adf.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2816240_16__05536_jpg.rf.90ed740a4c4284cedd49ee89b89f2adf.jpg
train__2816240_16__05540_jpg.jpg,train__2816240_16__05540_jpg.txt,train,2816240_16__05540_jpg.rf.62af4b032acd9052fa798c957fd883d9,2816240_16__05540_jpg.rf.62af4b032acd9052fa798c957fd883d9.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2816240_16__05540_jpg.rf.62af4b032acd9052fa798c957fd883d9.jpg
train__2816240_16__05544_jpg.jpg,train__2816240_16__05544_jpg.txt,train,2816240_16__05544_jpg.rf.12263c7530f8a784e3785dcc8a34a474,2816240_16__05544_jpg.rf.12263c7530f8a784e3785dcc8a34a474.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2816240_16__05544_jpg.rf.12263c7530f8a784e3785dcc8a34a474.jpg
train__2816240_16__05552_jpg.jpg,train__2816240_16__05552_jpg.txt,train,2816240_16__05552_jpg.rf.d52745b5efeabae10237c9f49d7a689a,2816240_16__05552_jpg.rf.d52745b5efeabae10237c9f49d7a689a.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2816240_16__05552_jpg.rf.d52745b5efeabae10237c9f49d7a689a.jpg
train__2816240_16__05560_jpg.jpg,train__2816240_16__05560_jpg.txt,train,2816240_16__05560_jpg.rf.9c674ee9f2cd57d9a5b9d361f6c4f705,2816240_16__05560_jpg.rf.9c674ee9f2cd57d9a5b9d361f6c4f705.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2816240_16__05560_jpg.rf.9c674ee9f2cd57d9a5b9d361f6c4f705.jpg
train__28162643_17__05704_jpg.jpg,train__28162643_17__05704_jpg.txt,train,28162643_17__05704_jpg.rf.485626f2034d153133bed0ee03bd74c0,28162643_17__05704_jpg.rf.485626f2034d153133bed0ee03bd74c0.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/28162643_17__05704_jpg.rf.485626f2034d153133bed0ee03bd74c0.jpg
train__281645_10__02688_jpg.jpg,train__281645_10__02688_jpg.txt,train,281645_10__02688_jpg.rf.69174fe01fe345da000924b72d2949bf,281645_10__02688_jpg.rf.69174fe01fe345da000924b72d2949bf.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/281645_10__02688_jpg.rf.69174fe01fe345da000924b72d2949bf.jpg
train__2816959_12__01496_jpg.jpg,train__2816959_12__01496_jpg.txt,train,2816959_12__01496_jpg.rf.d20fdda0706a912e1c596da29138ef27,2816959_12__01496_jpg.rf.d20fdda0706a912e1c596da29138ef27.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2816959_12__01496_jpg.rf.d20fdda0706a912e1c596da29138ef27.jpg
train__29fa41f99d82779f_jpg.jpg,train__29fa41f99d82779f_jpg.txt,train,29fa41f99d82779f_jpg.rf.18eb13514a190084226353a88deb892e,29fa41f99d82779f_jpg.rf.18eb13514a190084226353a88deb892e.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/29fa41f99d82779f_jpg.rf.18eb13514a190084226353a88deb892e.jpg
train__2a2b977aa478d0c2_jpg.jpg,train__2a2b977aa478d0c2_jpg.txt,train,2a2b977aa478d0c2_jpg.rf.be6c5108133e187f2c177c7eccf1cfd1,2a2b977aa478d0c2_jpg.rf.be6c5108133e187f2c177c7eccf1cfd1.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2a2b977aa478d0c2_jpg.rf.be6c5108133e187f2c177c7eccf1cfd1.jpg
train__2f197fa7d6149e6d_jpg.jpg,train__2f197fa7d6149e6d_jpg.txt,train,2f197fa7d6149e6d_jpg.rf.5f2745b38cedfb5b7d6e2a224be560f3,2f197fa7d6149e6d_jpg.rf.5f2745b38cedfb5b7d6e2a224be560f3.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2f197fa7d6149e6d_jpg.rf.5f2745b38cedfb5b7d6e2a224be560f3.jpg
train__2f75eaf7429dc37a_jpg.jpg,train__2f75eaf7429dc37a_jpg.txt,train,2f75eaf7429dc37a_jpg.rf.7e141235684dafea368cb67f923faa3b,2f75eaf7429dc37a_jpg.rf.7e141235684dafea368cb67f923faa3b.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/2f75eaf7429dc37a_jpg.rf.7e141235684dafea368cb67f923faa3b.jpg
train__30_jpg.jpg,train__30_jpg.txt,train,30_jpg.rf.f4a73881663ba0db3d9e92d437bb92e2,30_jpg.rf.f4a73881663ba0db3d9e92d437bb92e2.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/30_jpg.rf.f4a73881663ba0db3d9e92d437bb92e2.jpg
train__31f7e1c74fc14731e65ccdd832df106f_jpg.jpg,train__31f7e1c74fc14731e65ccdd832df106f_jpg.txt,train,31f7e1c74fc14731e65ccdd832df106f_jpg.rf.6e159f54d22bb875ee5f51556d0ddd8b,31f7e1c74fc14731e65ccdd832df106f_jpg.rf.6e159f54d22bb875ee5f51556d0ddd8b.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/31f7e1c74fc14731e65ccdd832df106f_jpg.rf.6e159f54d22bb875ee5f51556d0ddd8b.jpg
train__340fe34f-265257379_jpg.jpg,train__340fe34f-265257379_jpg.txt,train,340fe34f-265257379_jpg.rf.5dddaa73992bc5f8646c542e33373644,340fe34f-265257379_jpg.rf.5dddaa73992bc5f8646c542e33373644.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/340fe34f-265257379_jpg.rf.5dddaa73992bc5f8646c542e33373644.jpg
train__370_png_jpg.jpg,train__370_png_jpg.txt,train,370_png_jpg.rf.551b8f4f204e6eb184ca74ffaa8add6b,370_png_jpg.rf.551b8f4f204e6eb184ca74ffaa8add6b.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/370_png_jpg.rf.551b8f4f204e6eb184ca74ffaa8add6b.jpg
train__399060721-1600527933_jpeg_jpg.jpg,train__399060721-1600527933_jpeg_jpg.txt,train,399060721-1600527933_jpeg_jpg.rf.c447a719a7164c027de909e8a71ca827,399060721-1600527933_jpeg_jpg.rf.c447a719a7164c027de909e8a71ca827.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/399060721-1600527933_jpeg_jpg.rf.c447a719a7164c027de909e8a71ca827.jpg
train__3a14b4b0dfbb1dc38f21b15f21395d83_jpg.jpg,train__3a14b4b0dfbb1dc38f21b15f21395d83_jpg.txt,train,3a14b4b0dfbb1dc38f21b15f21395d83_jpg.rf.87c94e1e0e6fe7df62b18cb687643e94,3a14b4b0dfbb1dc38f21b15f21395d83_jpg.rf.87c94e1e0e6fe7df62b18cb687643e94.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/3a14b4b0dfbb1dc38f21b15f21395d83_jpg.rf.87c94e1e0e6fe7df62b18cb687643e94.jpg
train__3d-m4-colt-spas-12-model_600_jpg.jpg,train__3d-m4-colt-spas-12-model_600_jpg.txt,train,3d-m4-colt-spas-12-model_600_jpg.rf.cf578722f210a2ded2b41a0ba2462222,3d-m4-colt-spas-12-model_600_jpg.rf.cf578722f210a2ded2b41a0ba2462222.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/3d-m4-colt-spas-12-model_600_jpg.rf.cf578722f210a2ded2b41a0ba2462222.jpg
train__404056491-1602014500_jpeg_jpg.jpg,train__404056491-1602014500_jpeg_jpg.txt,train,404056491-1602014500_jpeg_jpg.rf.a65b0cb207b42cd00bdc9aac2a03d1fd,404056491-1602014500_jpeg_jpg.rf.a65b0cb207b42cd00bdc9aac2a03d1fd.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/404056491-1602014500_jpeg_jpg.rf.a65b0cb207b42cd00bdc9aac2a03d1fd.jpg
train__407262159-1602932533_jpeg.jpg,train__407262159-1602932533_jpeg.txt,train,407262159-1602932533_jpeg.rf.145e1e96bef183c36357f8fbc404e769,407262159-1602932533_jpeg.rf.145e1e96bef183c36357f8fbc404e769.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/407262159-1602932533_jpeg.rf.145e1e96bef183c36357f8fbc404e769.jpg
train__40_jpg.jpg,train__40_jpg.txt,train,40_jpg.rf.044efaf110fac6519149bd9cd23db4b2,40_jpg.rf.044efaf110fac6519149bd9cd23db4b2.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/40_jpg.rf.044efaf110fac6519149bd9cd23db4b2.jpg
train__41-1410_jpg.jpg,train__41-1410_jpg.txt,train,41-1410_jpg.rf.fdb474721c5d364bf15cbcd902f50c83,41-1410_jpg.rf.fdb474721c5d364bf15cbcd902f50c83.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/41-1410_jpg.rf.fdb474721c5d364bf15cbcd902f50c83.jpg
train__411379555-1603872179_jpeg.jpg,train__411379555-1603872179_jpeg.txt,train,411379555-1603872179_jpeg.rf.d4549e6a2f6b3fc397feb5ac049fcadf,411379555-1603872179_jpeg.rf.d4549e6a2f6b3fc397feb5ac049fcadf.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/411379555-1603872179_jpeg.rf.d4549e6a2f6b3fc397feb5ac049fcadf.jpg
train__412363479-1604116835_jpeg_jpg.jpg,train__412363479-1604116835_jpeg_jpg.txt,train,412363479-1604116835_jpeg_jpg.rf.01dba67cb1c4ea91a9404954ecc1c8fa,412363479-1604116835_jpeg_jpg.rf.01dba67cb1c4ea91a9404954ecc1c8fa.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/412363479-1604116835_jpeg_jpg.rf.01dba67cb1c4ea91a9404954ecc1c8fa.jpg
train__414438953-1604598026_jpeg.jpg,train__414438953-1604598026_jpeg.txt,train,414438953-1604598026_jpeg.rf.16be1428d7ef38581a3e629db88cdf0c,414438953-1604598026_jpeg.rf.16be1428d7ef38581a3e629db88cdf0c.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/414438953-1604598026_jpeg.rf.16be1428d7ef38581a3e629db88cdf0c.jpg
train__428394117-1608276923_jpeg.jpg,train__428394117-1608276923_jpeg.txt,train,428394117-1608276923_jpeg.rf.403b5fffac08909c9b8e37b8c819f396,428394117-1608276923_jpeg.rf.403b5fffac08909c9b8e37b8c819f396.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/428394117-1608276923_jpeg.rf.403b5fffac08909c9b8e37b8c819f396.jpg
train__437151387-1610689121_jpeg_jpg.jpg,train__437151387-1610689121_jpeg_jpg.txt,train,437151387-1610689121_jpeg_jpg.rf.3d9c67071671c200a98b68104f94c7ed,437151387-1610689121_jpeg_jpg.rf.3d9c67071671c200a98b68104f94c7ed.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/437151387-1610689121_jpeg_jpg.rf.3d9c67071671c200a98b68104f94c7ed.jpg
train__437151387-1610689121_jpeg_jpg_1.jpg,train__437151387-1610689121_jpeg_jpg_1.txt,train,437151387-1610689121_jpeg_jpg.rf.95c259e5d77274c557fee34e6bafb6fa,437151387-1610689121_jpeg_jpg.rf.95c259e5d77274c557fee34e6bafb6fa.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/437151387-1610689121_jpeg_jpg.rf.95c259e5d77274c557fee34e6bafb6fa.jpg
train__437151387-1610689121_jpeg_jpg_2.jpg,train__437151387-1610689121_jpeg_jpg_2.txt,train,437151387-1610689121_jpeg_jpg.rf.a32a7f399d2fecd890ec71f3b6286e07,437151387-1610689121_jpeg_jpg.rf.a32a7f399d2fecd890ec71f3b6286e07.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/437151387-1610689121_jpeg_jpg.rf.a32a7f399d2fecd890ec71f3b6286e07.jpg
train__438935871-1611137152_jpeg.jpg,train__438935871-1611137152_jpeg.txt,train,438935871-1611137152_jpeg.rf.f866531198f09dee2669a19822bfe181,438935871-1611137152_jpeg.rf.f866531198f09dee2669a19822bfe181.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/438935871-1611137152_jpeg.rf.f866531198f09dee2669a19822bfe181.jpg
train__442257665-1612017144_jpeg.jpg,train__442257665-1612017144_jpeg.txt,train,442257665-1612017144_jpeg.rf.fbeee2ba15cc1c716aa00a9795cee4b7,442257665-1612017144_jpeg.rf.fbeee2ba15cc1c716aa00a9795cee4b7.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/442257665-1612017144_jpeg.rf.fbeee2ba15cc1c716aa00a9795cee4b7.jpg
train__444448145-1612625454_jpeg_jpg.jpg,train__444448145-1612625454_jpeg_jpg.txt,train,444448145-1612625454_jpeg_jpg.rf.652ccf82db55593b015482ee00c6d7bc,444448145-1612625454_jpeg_jpg.rf.652ccf82db55593b015482ee00c6d7bc.jpg,/home/constantin/Doctorat/GunDatasetNoAugSplit/train/images/444448145-1612625454_jpeg_jpg.rf.652ccf82db55593b015482ee00c6d7bc.jpg
